readcode,medcode,readterm,icdcode
1D18.00,8600,pain from metastases,C79
1O0..00,10335,cancer confirmed,C80
44a4.00,32351,squamous cell carcinoma antigen level,C80
4C53.00,52946,bone marrow: myeloma cells,C90
4D56.00,49341,pleural fluid: malignant cells,C79
4F32.00,13575,ascitic fluid: malignant cells,C78
4K2M.00,107456,crv smr - hi grade dyskaryosis? invasive squamous carcinoma,C53
4M0..00,10178,gleason grading of prostate cancer,C61
4M00.00,18503,gleason prostate grade 2-4 (low),C61
4M01.00,18612,gleason prostate grade 5-7 (medium),C61
4M02.00,26081,gleason prostate grade 8-10 (high),C61
4M20.00,60918,lymphoma stage i,C85
4M21.00,94935,lymphoma stage ii,C85
4M22.00,32240,lymphoma stage iii,C85
4M23.00,71672,lymphoma stage iv,C85
4M4..00,37793,figo staging of gynaecological malignancy,C57
4M71.00,104609,clark melanoma level 2,C43
4M73.00,102116,clark melanoma level 4,C43
4M74.00,108866,clark melanoma level 5,C43
5136,48991,x-ray metastasis control,C79
68W2400,108905,bowel scope (flexible sigmoidoscopy) screen: cancer detected,C18
7B2C700,30283,intravesical install chemotherapeutic agent for malignancy,C80
7G03K00,18270,excision malignant skin tumour,C44
7G05600,11834,excision biopsy of rodent ulcer,C44
7G05D00,93402,excision biopsy of basal cell carcinoma,C44
8B3p.00,26197,administration of cancer treatment,C80
8BC6.00,32411,cancer treatment started,C80
8BCF.00,54336,cancer hospital treatment completed,C80
8CL0.00,10292,cancer diagnosis discussed,C80
8CL1.00,11075,cancer diagnosis discussed with significant other,C80
8CL2.00,22382,cancer diagnosis discussed with patient,C80
9Ok3.00,44952,date cancer diagnosis received in primary care,C80
9Ok5.00,26076,cancer pain and symptom management,C80
9Ok7.00,59054,cancer rehabilitation and readaption,C80
9Ow1.00,94000,bowel cancer detected by national screening programme,C26
A788600,101836,human immunodeficiency virus with secondary cancers,C80
A788W00,67575,hiv disease resulting in unspecified malignant neoplasm,C80
A789500,27853,hiv disease resulting in kaposi's sarcoma,C46
A789600,44617,hiv disease resulting in burkitt's lymphoma,C83
A789700,66367,hiv dis resulting oth types of non-hodgkin's lymphoma,C85
A789800,105324,hiv disease resulting in multiple malignant neoplasms,C80
A789X00,51708,"hiv dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu",C96
AyuC600,69767,[x]hiv disease resulting in other non-hodgkin's lymphoma,C85
B0...00,19415,"malignant neoplasm of lip, oral cavity and pharynx",C14
B0...11,24374,"carcinoma of lip, oral cavity and pharynx",C14
B00..00,14712,malignant neoplasm of lip,C00
B00..11,9984,carcinoma of lip,C00
B000.00,73962,"malignant neoplasm of upper lip, vermilion border",C00
B000000,66270,"malignant neoplasm of upper lip, external",C00
B000100,50296,"malignant neoplasm of upper lip, lipstick area",C00
B000z00,98740,"malignant neoplasm of upper lip, vermilion border nos",C00
B001.00,67446,"malignant neoplasm of lower lip, vermilion border",C00
B001000,66384,"malignant neoplasm of lower lip, external",C00
B001100,95480,"malignant neoplasm of lower lip, lipstick area",C00
B001z00,101707,"malignant neoplasm of lower lip, vermilion border nos",C00
B002.00,99493,"malignant neoplasm of upper lip, inner aspect",C00
B002000,111289,"malignant neoplasm of upper lip, buccal aspect",C00
B002100,99001,"malignant neoplasm of upper lip, frenulum",C00
B002200,98500,"malignant neoplasm of upper lip, mucosa",C00
B002300,90610,"malignant neoplasm of upper lip, oral aspect",C00
B002z00,100721,"malignant neoplasm of upper lip, inner aspect nos",C00
B003.00,71147,"malignant neoplasm of lower lip, inner aspect",C00
B003000,67504,"malignant neoplasm of lower lip, buccal aspect",C00
B003100,91843,"malignant neoplasm of lower lip, frenulum",C00
B003200,89909,"malignant neoplasm of lower lip, mucosa",C00
B003300,94441,"malignant neoplasm of lower lip, oral aspect",C00
B003z00,96782,"malignant neoplasm of lower lip, inner aspect nos",C00
B004.00,61692,"malignant neoplasm of lip unspecified, inner aspect",C00
B004000,73614,"malignant neoplasm of lip unspecified, buccal aspect",C44
B004200,68399,"malignant neoplasm of lip unspecified, mucosa",C00
B004300,100144,"malignant neoplasm of lip, oral aspect",C00
B005.00,96783,malignant neoplasm of commissure of lip,C00
B006.00,18882,malignant neoplasm of overlapping lesion of lip,C00
B007.00,37553,"malignant neoplasm of lip, unspecified",C00
B00z000,100906,"malignant neoplasm of lip, unspecified, external",C00
B00z100,94251,"malignant neoplasm of lip, unspecified, lipstick area",C00
B00zz00,69761,"malignant neoplasm of lip, vermilion border nos",C00
B01..00,10283,malignant neoplasm of tongue,C02
B010.00,43431,malignant neoplasm of base of tongue,C01
B010.11,69671,malignant neoplasm of posterior third of tongue,C01
B010000,34409,malignant neoplasm of base of tongue dorsal surface,C01
B010z00,91035,malignant neoplasm of fixed part of tongue nos,C02
B011.00,43642,malignant neoplasm of dorsal surface of tongue,C02
B011100,107258,malignant neoplasm of midline of tongue,C02
B011z00,43781,malignant neoplasm of dorsum of tongue nos,C02
B012.00,36161,"malignant neoplasm of tongue, tip and lateral border",C01
B013.00,62840,malignant neoplasm of ventral surface of tongue,C02
B013000,102142,malignant neoplasm of anterior 2/3 of tongue ventral surface,C02
B013100,63979,malignant neoplasm of frenulum linguae,C02
B013z00,38488,malignant neoplasm of ventral tongue surface nos,C02
B014.00,58121,malignant neoplasm of anterior 2/3 of tongue unspecified,C01
B015.00,37096,"malignant neoplasm of tongue, junctional zone",C01
B016.00,24852,malignant neoplasm of lingual tonsil,C02
B017.00,47205,malignant overlapping lesion of tongue,C02
B01y.00,41530,malignant neoplasm of other sites of tongue,C02
B01z.00,40557,malignant neoplasm of tongue nos,C01
B02..00,20292,malignant neoplasm of major salivary glands,C08
B020.00,4388,malignant neoplasm of parotid gland,C07
B021.00,51786,malignant neoplasm of submandibular gland,C08
B022.00,70928,malignant neoplasm of sublingual gland,C08
B02y.00,70696,malignant neoplasm of other major salivary glands,C08
B02z.00,50475,malignant neoplasm of major salivary gland nos,C08
B03..00,43400,malignant neoplasm of gum,C03
