readcode,medcode,readterm,,,,,,,,,
7K1DE00,105803,prim op red frac neck fem op fix us prox fem nail antirotatn,,,,,,,,,
7K1G200,41888,primary open reduction+external fixation of femoral fracture,,,,,,,,,
7K1J011,53670,cl red intracaps frac neck femur fix-garden cannulated screw,,,,,,,,,
7K1J012,40999,cl red intracaps fract neck femur fix - smith-petersen nail,,,,,,,,,
7K1L400,6660,closed reduction of fracture of hip,,,,,,,,,
7K1Y000,107358,remanip intracap fract neck fem and fix using nail or screw,,,,,,,,,
S30..00,2225,fracture of neck of femur,,,,,,,,,
S30..11,1994,hip fracture,,,,,,,,,
S300.00,38489,"closed fracture proximal femur, transcervical",,,,,,,,,
S300100,69919,"closed fracture proximal femur, transepiphyseal",,,,,,,,,
S300200,65690,"closed fracture proximal femur, midcervical section",,,,,,,,,
S300300,52194,"closed fracture proximal femur, basicervical",,,,,,,,,
S300311,51861,"closed fracture, base of neck of femur",,,,,,,,,
S300400,36391,closed fracture head of femur,,,,,,,,,
S300600,34351,"closed fracture proximal femur, subcapital, garden grade i",,,,,,,,,
S300700,33957,"closed fracture proximal femur, subcapital, garden grade ii",,,,,,,,,
S300800,36599,"closed fracture proximal femur, subcapital, garden grade iii",,,,,,,,,
S300900,34078,"closed fracture proximal femur, subcapital, garden grade iv",,,,,,,,,
S300A00,45779,"closed fracture of femur, upper epiphysis",,,,,,,,,
S300y00,49209,"closed fracture proximal femur, other transcervical",,,,,,,,,
S300y11,68229,"closed fracture of femur, subcapital",,,,,,,,,
S300z00,62966,"closed fracture proximal femur, transcervical, nos",,,,,,,,,
S301.00,73981,"open fracture proximal femur, transcervical",,,,,,,,,
S301100,72138,"open fracture proximal femur, transepiphyseal",,,,,,,,,
S301200,112836,"open fracture proximal femur, midcervical section",,,,,,,,,
S301300,113426,"open fracture proximal femur, basicervical",,,,,,,,,
S301311,100771,open fracture base of neck of femur,,,,,,,,,
S301500,38878,"open fracture proximal femur,subcapital, garden grade unspec",,,,,,,,,
S301600,60885,"open fracture proximal femur,subcapital, garden grade i",,,,,,,,,
S301700,67394,"open fracture proximal femur,subcapital, garden grade ii",,,,,,,,,
S301800,23803,"open fracture proximal femur,subcapital, garden grade iii",,,,,,,,,
S301900,51999,"open fracture proximal femur,subcapital, garden grade iv",,,,,,,,,
S301A00,96518,"open fracture of femur, upper epiphysis",,,,,,,,,
S301y00,68668,"open fracture proximal femur, other transcervical",,,,,,,,,
S301y11,73234,"open fracture of femur, subcapital",,,,,,,,,
S301z00,112712,"open fracture proximal femur, transcervical, nos",,,,,,,,,
S302.00,5301,"closed fracture of proximal femur, pertrochanteric",,,,,,,,,
S302011,19387,"closed fracture of femur, greater trochanter",,,,,,,,,
S302012,48337,"closed fracture of femur, lesser trochanter",,,,,,,,,
S302100,45141,"closed fracture proximal femur, intertrochanteric, two part",,,,,,,,,
S302200,29145,"closed fracture proximal femur, subtrochanteric",,,,,,,,,
S302400,8648,"closed fracture of femur, intertrochanteric",,,,,,,,,
S303.00,61733,"open fracture of proximal femur, pertrochanteric",,,,,,,,,
S303011,96644,"open fracture of femur, greater trochanter",,,,,,,,,
S303012,112991,"open fracture of femur, lesser trochanter",,,,,,,,,
S303100,101567,"open fracture proximal femur, intertrochanteric, two part",,,,,,,,,
S303200,71282,"open fracture proximal femur, subtrochanteric",,,,,,,,,
S303300,97971,"open fracture proximal femur, intertrochanteric, comminuted",,,,,,,,,
S303400,39396,"open fracture of femur, intertrochanteric",,,,,,,,,
S303z00,70479,"open fracture of proximal femur, pertrochanteric, nos",,,,,,,,,
S304.00,28965,pertrochanteric fracture,,,,,,,,,
S305.00,8243,subtrochanteric fracture,,,,,,,,,
S30w.00,24276,closed fracture of unspecified proximal femur,,,,,,,,,
S30x.00,58642,open fracture of unspecified proximal femur,,,,,,,,,
S30y.00,18273,closed fracture of neck of femur nos,,,,,,,,,
S30y.11,10570,hip fracture nos,,,,,,,,,
S30z.00,38054,open fracture of neck of femur nos,,,,,,,,,
S4E..00,24587,fracture-dislocation or subluxation hip,,,,,,,,,
S4E0.00,40267,"closed fracture-dislocation, hip joint",,,,,,,,,
S4E1.00,58720,"open fracture-dislocation, hip joint",,,,,,,,,
S4E2.00,93374,"closed fracture-subluxation, hip joint",,,,,,,,,
