medcode,readcode,readterm
844,N040.00,Rheumatoid arthritis
5723,N042200,Rheumatoid nodule
6916,N040P00,Seronegative rheumatoid arthritis
8583,N042000,Rheumatic carditis
9707,N047.00,Seropositive errosive rheumatoid arthritis
12019,N04X.00,"Seropositive rheumatoid arthritis, unspecified"
18155,N040Q00,Rheumatoid bursitis
21358,N040200,Rheumatoid arthritis of shoulder
23552,N041.00,Felty's syndrome
27603,N04..00,Rheumatoid arthritis and other inflammatory polyarthropathy
28853,N04y012,Fibrosing alveolitis associated with rheumatoid arthritis
31054,N040S00,Rheumatoid arthritis - multiple joint
31209,F396400,Myopathy due to rheumatoid arthritis
31724,N04y000,Rheumatoid lung
37431,N042z00,Rheumatoid arthropathy + visceral/systemic involvement NOS
41941,N040900,Rheumatoid arthritis of PIP joint of finger
42299,N040800,Rheumatoid arthritis of MCP joint
44203,N040100,Other rheumatoid arthritis of spine
44743,N040000,Rheumatoid arthritis of cervical spine
46436,N042100,Rheumatoid lung disease
48832,N040700,Rheumatoid arthritis of wrist
49067,N040B00,Rheumatoid arthritis of hip
49227,N042.00,Other rheumatoid arthropathy + visceral/systemic involvement
50863,N040D00,Rheumatoid arthritis of knee
51238,N040K00,Rheumatoid arthritis of 1st MTP joint
51239,N040F00,Rheumatoid arthritis of ankle
53621,N040R00,Rheumatoid nodule
56202,Nyu1G00,"[X]Seropositive rheumatoid arthritis, unspecified"
56838,N04y011,Caplan's syndrome
59738,N040500,Rheumatoid arthritis of elbow
62401,F371200,Polyneuropathy in rheumatoid arthritis
63198,N040A00,Rheumatoid arthritis of DIP joint of finger
63365,N040600,Rheumatoid arthritis of distal radio-ulnar joint
70221,Nyu1200,[X]Other specified rheumatoid arthritis
70658,N040H00,Rheumatoid arthritis of talonavicular joint
71784,N040J00,Rheumatoid arthritis of other tarsal joint
73619,N040G00,Rheumatoid arthritis of subtalar joint
93715,Nyu1100,[X]Other seropositive rheumatoid arthritis
99414,N040L00,Rheumatoid arthritis of lesser MTP joint
100776,N040C00,Rheumatoid arthritis of sacro-iliac joint
100914,N040400,Rheumatoid arthritis of acromioclavicular joint
106440,Nyu1000,[X]Rheumatoid arthritis+involvement/other organs or systems
8350,N040T00,Flare of rheumatoid arthritis
