rolling_window,pattern,Freq,outcome,analysis,exposure,cumdays,pattern_rt_gap,pattern_lagged,pattern_itt,cumdose
1,intermittent,625,bisphosphonate,main,pattern,NA,NA,NA,NA,NA
2,intermittent,893,bisphosphonate,main,pattern,NA,NA,NA,NA,NA
3,intermittent,889,bisphosphonate,main,pattern,NA,NA,NA,NA,NA
4,intermittent,870,bisphosphonate,main,pattern,NA,NA,NA,NA,NA
1,continuous,300,bisphosphonate,main,pattern,NA,NA,NA,NA,NA
2,continuous,27,bisphosphonate,main,pattern,NA,NA,NA,NA,NA
3,continuous,23,bisphosphonate,main,pattern,NA,NA,NA,NA,NA
4,continuous,26,bisphosphonate,main,pattern,NA,NA,NA,NA,NA
1,NA,20,bisphosphonate,main,cumdays,few,NA,NA,NA,NA
2,NA,16,bisphosphonate,main,cumdays,few,NA,NA,NA,NA
3,NA,14,bisphosphonate,main,cumdays,few,NA,NA,NA,NA
4,NA,NA,bisphosphonate,main,cumdays,few,NA,NA,NA,NA
1,NA,905,bisphosphonate,main,cumdays,many,NA,NA,NA,NA
2,NA,904,bisphosphonate,main,cumdays,many,NA,NA,NA,NA
3,NA,898,bisphosphonate,main,cumdays,many,NA,NA,NA,NA
4,NA,887,bisphosphonate,main,cumdays,many,NA,NA,NA,NA
1,NA,239,bisphosphonate,main,pattern_rt_gap,NA,intermittent,NA,NA,NA
2,NA,238,bisphosphonate,main,pattern_rt_gap,NA,intermittent,NA,NA,NA
3,NA,237,bisphosphonate,main,pattern_rt_gap,NA,intermittent,NA,NA,NA
4,NA,233,bisphosphonate,main,pattern_rt_gap,NA,intermittent,NA,NA,NA
1,NA,686,bisphosphonate,main,pattern_rt_gap,NA,continuous,NA,NA,NA
2,NA,682,bisphosphonate,main,pattern_rt_gap,NA,continuous,NA,NA,NA
3,NA,675,bisphosphonate,main,pattern_rt_gap,NA,continuous,NA,NA,NA
4,NA,663,bisphosphonate,main,pattern_rt_gap,NA,continuous,NA,NA,NA
1,NA,921,bisphosphonate,main,pattern_lagged,NA,NA,intermittent,NA,NA
2,NA,623,bisphosphonate,main,pattern_lagged,NA,NA,intermittent,NA,NA
3,NA,887,bisphosphonate,main,pattern_lagged,NA,NA,intermittent,NA,NA
4,NA,874,bisphosphonate,main,pattern_lagged,NA,NA,intermittent,NA,NA
1,NA,NA,bisphosphonate,main,pattern_lagged,NA,NA,continuous,NA,NA
2,NA,297,bisphosphonate,main,pattern_lagged,NA,NA,continuous,NA,NA
3,NA,25,bisphosphonate,main,pattern_lagged,NA,NA,continuous,NA,NA
4,NA,22,bisphosphonate,main,pattern_lagged,NA,NA,continuous,NA,NA
1,NA,625,bisphosphonate,main,pattern_itt,NA,NA,NA,intermittent,NA
2,NA,623,bisphosphonate,main,pattern_itt,NA,NA,NA,intermittent,NA
3,NA,618,bisphosphonate,main,pattern_itt,NA,NA,NA,intermittent,NA
4,NA,611,bisphosphonate,main,pattern_itt,NA,NA,NA,intermittent,NA
1,NA,300,bisphosphonate,main,pattern_itt,NA,NA,NA,continuous,NA
2,NA,297,bisphosphonate,main,pattern_itt,NA,NA,NA,continuous,NA
3,NA,294,bisphosphonate,main,pattern_itt,NA,NA,NA,continuous,NA
4,NA,285,bisphosphonate,main,pattern_itt,NA,NA,NA,continuous,NA
1,NA,14,bisphosphonate,main,cumdose,NA,NA,NA,NA,450 to 899 mg
2,NA,NA,bisphosphonate,main,cumdose,NA,NA,NA,NA,450 to 899 mg
3,NA,NA,bisphosphonate,main,cumdose,NA,NA,NA,NA,450 to 899 mg
4,NA,NA,bisphosphonate,main,cumdose,NA,NA,NA,NA,450 to 899 mg
1,NA,16,bisphosphonate,main,cumdose,NA,NA,NA,NA,900 to 1500 mg
2,NA,17,bisphosphonate,main,cumdose,NA,NA,NA,NA,900 to 1500 mg
3,NA,17,bisphosphonate,main,cumdose,NA,NA,NA,NA,900 to 1500 mg
4,NA,15,bisphosphonate,main,cumdose,NA,NA,NA,NA,900 to 1500 mg
1,NA,895,bisphosphonate,main,cumdose,NA,NA,NA,NA,>1500 mg
2,NA,894,bisphosphonate,main,cumdose,NA,NA,NA,NA,>1500 mg
3,NA,888,bisphosphonate,main,cumdose,NA,NA,NA,NA,>1500 mg
4,NA,877,bisphosphonate,main,cumdose,NA,NA,NA,NA,>1500 mg
1,intermittent,625,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
2,intermittent,893,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
3,intermittent,889,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
4,intermittent,870,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
5,intermittent,857,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
6,intermittent,862,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
7,intermittent,836,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
8,intermittent,828,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
9,intermittent,809,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
10,intermittent,799,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
11,intermittent,766,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
12,intermittent,755,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
13,intermittent,729,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
14,intermittent,711,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
15,intermittent,685,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
16,intermittent,655,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
17,intermittent,625,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
18,intermittent,589,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
19,intermittent,539,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
20,intermittent,507,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
21,intermittent,471,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
22,intermittent,429,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
23,intermittent,388,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
24,intermittent,340,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
25,intermittent,309,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
26,intermittent,277,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
27,intermittent,244,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
28,intermittent,217,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
29,intermittent,182,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
30,intermittent,156,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
31,intermittent,145,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
32,intermittent,121,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
33,intermittent,102,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
34,intermittent,83,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
35,intermittent,70,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
36,intermittent,54,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
37,intermittent,42,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
38,intermittent,30,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
39,intermittent,21,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
40,intermittent,16,bisphosphonate,sens_all_follow_up,pattern,NA,NA,NA,NA,NA
