term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,outcome,exposure,model,analysis
patterncontinuous,4.479412079068279,1.4114119816900648,0.7256869784287941,2.066306617091212,0.03879953701391182,1.0802272802743418,18.574917464597753,bisphosphonate,pattern,crude,main
cumdaysmany,9096376.978984058,12642.677314409417,0.5685467722421453,28.183058176273757,9.433241284906916e-175,2984836.593940558,27721475.377167366,bisphosphonate,cumdays,crude,main
pattern_rt_gapcontinuous,1.054819438225381,1.1547058480668106,1.1465433003294292,0.04654826700707052,0.9628732642445829,0.11149071426522367,9.979701489859105,bisphosphonate,pattern_rt_gap,crude,main
pattern_laggedcontinuous,1.0801411112829187e-7,10355.310661795731,0.5669148269312763,-28.295262705673675,3.952307853483645e-176,3.555672235300443e-8,3.281249628974628e-7,bisphosphonate,pattern_lagged,crude,main
pattern_ittcontinuous,2.117912321865271,1.0000092672094087,0.9998378723075497,0.7505525350087348,0.4529219957655279,0.2984313456445381,15.030433862170398,bisphosphonate,pattern_itt,crude,main
cumdose900 to 1500 mg,1.0011160900147655,20575.59253889158,0.4121865945826142,0.0027062201051656423,0.997840751395543,0.4463037912025495,2.2456305445803415,bisphosphonate,cumdose,crude,main
cumdose>1500 mg,9264637.526276791,17127.57243525927,0.6200485793058005,25.871707200733365,1.3867489651751633e-147,2748160.7011473053,31233074.70973669,bisphosphonate,cumdose,crude,main
patterncontinuous,3.77308348646401,1.3562933035583395,0.7642625158138333,1.737482266372893,0.08230208151898347,0.8436357632638077,16.874769439303297,bisphosphonate,pattern,adjusted_comorb,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb,main
agegroup66-79,252706927.92515004,16817.249592408974,0.5650611652329005,34.24008262825863,6.1269693741504786e-257,83490336.6745802,764888416.6113355,bisphosphonate,pattern,adjusted_comorb,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb,main
sex1,0.3345856700023247,1.1568392229921236,1.1642951242118675,-0.9403649434134119,0.34703039776679934,0.034155254844093354,3.2776089969729556,bisphosphonate,pattern,adjusted_comorb,main
carstairs2,1.975563274070969,1.2263724495391322,1.1814029593836792,0.576309339962336,0.564406110904715,0.1950198965821063,20.012574707806017,bisphosphonate,pattern,adjusted_comorb,main
carstairs3,2.312876373799136e-9,21402.982902318712,0.9928254386104647,-20.02846938670118,3.110727609555784e-89,3.30413569186193e-10,1.619000434411268e-8,bisphosphonate,pattern,adjusted_comorb,main
carstairs4,0.8924863261776167,1.4150187655973014,1.392117937870085,-0.08170578308122883,0.9348806795050056,0.058294641246926085,13.66389474874795,bisphosphonate,pattern,adjusted_comorb,main
carstairs5,2.804032840403391e-9,20197.843391975006,0.9694982037259176,-20.31175207976523,1.012281671816805e-91,4.193191806941948e-10,1.8750871727460567e-8,bisphosphonate,pattern,adjusted_comorb,main
asthma1,8.389048757655096e-9,116807.2787386469,1.1365959235844991,-16.36143357118313,3.6053963432990195e-60,9.041500577675782e-10,7.783679097701886e-8,bisphosphonate,pattern,adjusted_comorb,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern,adjusted_comorb,main
rheumatoid_arthritis1,0.7926200048697957,328015.3134116754,1.2426601842100562,-0.18702728384183712,0.8516392409617713,0.06939221697693133,9.053558158094997,bisphosphonate,pattern,adjusted_comorb,main
cumdaysmany,263946714.80157384,60732.16051036549,0.7643990323114105,25.36797795809598,5.692237559931902e-142,59000898.44988058,1180793345.2695477,bisphosphonate,cumdays,adjusted_comorb,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb,main
agegroup66-79,255542047.5748832,16266.407233979366,0.5384236962500115,35.954765101652434,4.2639225642197365e-283,88951912.32845795,734124049.3811419,bisphosphonate,cumdays,adjusted_comorb,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb,main
sex1,0.32444025459297454,1.1551224248329408,1.1538127229204664,-0.9755949580933598,0.3292652240641009,0.03380707236228516,3.1135934419977405,bisphosphonate,cumdays,adjusted_comorb,main
carstairs2,1.888020322507447,1.225213580666926,1.2015851940223539,0.5289086740307448,0.5968688044813453,0.17914945579617766,19.89746897281493,bisphosphonate,cumdays,adjusted_comorb,main
carstairs3,2.2791339452083025e-9,20859.026349960397,0.9966722468657965,-19.965911940771797,1.0901961104619402e-88,3.2314757032132544e-10,1.6074549268730694e-8,bisphosphonate,cumdays,adjusted_comorb,main
carstairs4,0.8669276390941125,1.4143470005901178,1.4143085802631261,-0.1009678997426272,0.919575942215339,0.05421521733639694,13.86259372090972,bisphosphonate,cumdays,adjusted_comorb,main
carstairs5,2.6249813255645232e-9,20396.02047742128,0.9621433333975221,-20.53560147346095,1.0352479088685313e-93,3.9824316239100617e-10,1.7302310774634647e-8,bisphosphonate,cumdays,adjusted_comorb,main
asthma1,8.168302686890026e-9,107483.5727194634,1.0594547339377158,-17.577914471063092,3.6371033711079047e-69,1.0240527265446285e-9,6.515403655999844e-8,bisphosphonate,cumdays,adjusted_comorb,main
copd1,NA,0,0,NA,NA,NA,NA,bisphosphonate,cumdays,adjusted_comorb,main
rheumatoid_arthritis1,1.0525626719995635,314727.66241967387,1.2696607239205289,0.040347653258303286,0.967815962880742,0.08739987200242581,12.676084679576087,bisphosphonate,cumdays,adjusted_comorb,main
pattern_rt_gapcontinuous,1.0107444502072638,1.1611101826617258,1.1380973245578905,0.00939035575083997,0.9925076902365774,0.10861534009528423,9.405709568543152,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
agegroup40-49,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
agegroup50-65,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
agegroup66-79,248044431.33927575,16185.004283331238,0.5409683395647185,35.73059092933469,1.3245814803303952e-279,85912507.72981414,716147643.0407274,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
agegroup80+,NA,0,0,NA,NA,NA,NA,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
sex1,0.3274537953662474,1.1559768242575277,1.1091558970278033,-1.006538683788939,0.3141565129913529,0.03724215620060296,2.879156285210582,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
carstairs2,1.9427729928246544,1.2313467462566292,1.219238870752705,0.5446974716463562,0.5859616040528682,0.1780754494837864,21.195324299841324,bisphosphonate,pattern_rt_gap,adjusted_comorb,main
