drugsubstancename,corticosteroid,source
Beclometasone dipropionate,0.15,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Betamethasone,0.15,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Betamethasone sodium phosphate,0.15,mmc2.pdf (jacionline.org)
Budesonide,0.38,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Cortisone Acetate,25.00,mmc2.pdf (jacionline.org)
Cortisone acetate,25.00,mmc2.pdf (jacionline.org)
Deflazacort,1.20,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Dexamethasone,0.15,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Dexamethasone Sodium Phosphate,0.15,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Dexamethasone sodium phosphate,0.15,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Hydrocortisone,0.25,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Hydrocortisone Acetate,0.25,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Hydrocortisone Sodium Phosphate,0.25,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Hydrocortisone Sodium Succinate,0.25,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Hydrocortisone acetate,0.25,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Hydrocortisone sodium phosphate,0.25,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Hydrocortisone sodium succinate,0.25,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Lidocaine Hydrochloride/Methylprednis..,0.20,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Methylprednisolone,0.20,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Methylprednisolone Acetate,0.20,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Methylprednisolone acetate,0.20,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Methylprednisolone acetate/Lidocaine ..,0.20,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Methylprednisolone sodium succinate,0.20,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Prednisolone,1.00,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Prednisolone Sodium Phosphate,1.00,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Prednisolone Steaglate,1.00,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Prednisolone acetate,1.00,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Prednisolone sodium phosphate,1.00,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Prednisone,1.00,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Triamcinolone Acetonide,0.80,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Triamcinolone Hexacetonide,0.80,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Triamcinolone Hexacetonide/Benzyl Alc..,0.80,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Triamcinolone acetonide,0.80,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
Triamcinolone hexacetonide,0.80,Glucocorticoid therapy | Treatment summary | BNF content published by NICE
